predicted,actual
436.45905,438.370069385388
436.7564,437.385680158709
436.55493,443.00071666599
440.2677,450.1978072875763
446.72443,450.2279416516584
449.0525,442.2473575639398
443.91095,440.3388478387459
440.3905,434.7589680895606
435.62234,432.9609510326675
432.80115,436.69258978482276
434.5601,438.4052261434836
436.68518,440.05759377398044
438.51984,443.81936689021785
441.6338,441.02691581861836
440.83414,443.091119758236
441.65616,446.62688514385826
444.4768,452.43779501767233
449.55664,452.51313092787734
451.4085,452.88981047890246
451.97293,460.0266323723248
457.01746,461.40779072608353
459.9292,462.25657531439344
461.24454,459.71022154946377
459.71344,459.18287017802857
458.66675,455.2402908772991
455.6314,448.1888496821091
449.64404,455.2503356653264
452.49405,451.7949285839228
451.69418,451.3429131226926
450.8377,443.7289637979718
445.27228,442.55372359877344
442.36493,441.00682624256376
440.60272,445.34115227635925
443.10355,443.75407576804025
443.16522,452.00084673848323
448.63245,453.1811093316952
451.6319,452.3925934715493
451.8089,448.17378250006806
448.69055,445.20554763799026
445.41687,446.21504883473756
445.09033,445.08501018166226
444.46246,442.6340819029922
442.55872,440.4995644471833
440.38385,434.7690128775879
435.76532,429.6863501357558
430.65424,428.3051917819971
428.02576,432.68471936191565
430.28943,432.5692042996013
431.38556,434.5279379649319
432.94443,436.72272414890483
434.95886,434.9699086381347
434.47183,433.0563765189271
432.8048,424.9200982167848
426.70197,424.1215375686116
423.805,427.5668998619879
425.39215,423.29284255635633
423.49582,430.04294011072625
427.00735,435.6780661940619
432.42316,439.6507798588733
437.08154,439.66082464690066
438.53897,443.9047475884502
441.61844,444.2161360172976
442.97256,447.9829315275487
445.85583,446.4109222012706
445.8262,444.4170317778444
444.21155,443.7590981620539
443.12708,442.9304031497986
442.27234,451.5538536712667
447.94574,449.082835816542
448.60034,451.4483833969797
450.016,443.1262765163317
444.752,443.2970379127964
442.70416,438.4855844477024
439.0306,438.9576894849871
438.06683,438.0637033505542
437.36942,437.8226284378981
437.00137,443.3773962170151
440.67218,443.8746132243682
442.5408,437.91303153014417
438.903,436.039678563046
436.00446,432.7299209080387
432.8996,426.6829585155823
427.82562,427.78286280457564
426.72925,433.9804970174421
430.83063,435.85887237855394
433.92114,437.9230763181715
436.22736,440.8812663922221
438.9015,448.90202963205
445.27264,444.2764047454616
444.47037,505.6902387445951
486.46634,501.6271219875376
500.72174,503.48038537858116
503.55322,515.7099148018629
512.5342,512.7718143038671
513.2429,507.5887036817617
508.95166,507.4882558014883
507.4303,518.1256863224373
515.266,515.2126977945097
515.8406,515.2930560987285
515.51636,513.5201510119036
514.0156,513.0530683686325
513.2122,510.75281191037254
511.3312,511.37056637405374
511.24304,503.95751280987963
505.77774,508.0055623848961
507.01428,505.2784024354744
505.7799,505.8760673231008
505.73425,516.2372661732982
513.56085,517.6234469210706
517.25116,516.784707120788
517.24805,515.7802283180542
516.1958,512.5960305133888
513.44965,511.1495810374523
511.54828,517.040849215485
515.5704,515.9459673205054
516.2232,522.9823413336543
521.469,529.2301994866575
527.8846,531.5857022790678
531.3897,529.8228419802704
530.6792,527.2614210332996
528.23254,526.6537113576458
527.05286,529.1146844243431
528.7505,528.6978257212086
529.06976,534.9707958442801
533.85785,539.1142709055563
538.54205,542.3788270144406
542.1949,538.6873674143944
540.1301,535.0159973904032
536.38965,530.4255292619105
531.8447,536.5277379885172
535.4022,534.9657734502664
535.6572,542.4240285605636
541.2352,543.1623204805728
543.52234,550.3744782842
549.4225,557.6268152399368
556.7141,555.9945371854947
557.2461,558.8070778331489
559.0742,559.2791828704337
559.9508,554.7992074102417
556.58655,560.4343334935775
559.9406,556.6323812252306
558.209,552.5642420741594
554.2831,558.7367643169575
558.052,569.5248666583167
567.92773,570.7151740395559
571.5714,565.2106302005757
567.57043,565.1804958364936
566.1027,561.5744169346801
563.12335,574.8034027666818
572.7814,574.4166784276292
575.55176,578.218630695976
578.6824,575.3709332902263
577.10645,581.9653366301725
581.6671,582.6282926399766
583.62036,580.1622971792657
581.90845,561.9962980318282
566.837,550.6758219250202
553.75745,561.589484116721
559.5596,553.5285417247838
555.933,567.7871183295874
565.6161,590.6189215157226
586.7038,566.8077514969222
573.3873,569.1732990773598
569.8917,571.6995632662348
571.76965,580.0919836630742
579.2716,588.8510388229115
588.265,586.5909615167608
588.5176,595.22947922027
594.8109,593.4816861035133
595.172,600.0961790195142
600.1278,601.552673283478
602.6446,605.5957004644808
606.24554,601.3216431588493
603.62573,602.2055845052548
603.365,602.0448678968174
603.34906,606.4143506887087
606.88574,610.1660790169188
610.87415,610.2514597151511
611.7899,609.769309889839
611.3594,607.9863600149868
609.73914,601.4974269493277
